==========:==========:==========:Пользователь начал работу:==========
12/06/22 (00/19):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (00/19):1344328037:Алексей:Сообщение от пользователя:/stop
==========:==========:==========:Пользователь завершил работу:==========
==========:==========:==========:Пользователь начал работу:==========
12/06/22 (12/58):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (12/58):1344328037:Алексей:Сообщение от пользователя:Начнем
12/06/22 (12/58):1344328037:Алексей:Сообщение от пользователя:Рациональные
12/06/22 (12/58):1344328037:Алексей:Сообщение от пользователя:**
12/06/22 (12/58):1344328037:Алексей:Сообщение от пользователя:2 10
==========:==========:==========:Пользователь начал работу:==========
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:Начнем
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:Рациональные
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:**
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:2 10
12/06/22 (13/02):1344328037:Алексей:Результат вычислений:1024
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:Продолжить
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:Рациональные
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:/
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:15 0
12/06/22 (13/02):1344328037:Алексей:Ошибка:Попытка деления на ноль
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:145 15
12/06/22 (13/02):1344328037:Алексей:Результат вычислений:9.666666666666666
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:Продолжить
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:Рациональные
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:*
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:150 1.5
12/06/22 (13/02):1344328037:Алексей:Результат вычислений:225.0
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:Продолжить
12/06/22 (13/02):1344328037:Алексей:Сообщение от пользователя:Рациональные
12/06/22 (13/03):1344328037:Алексей:Сообщение от пользователя:*
12/06/22 (13/03):1344328037:Алексей:Сообщение от пользователя:200 0.30
12/06/22 (13/03):1344328037:Алексей:Результат вычислений:60.0
12/06/22 (13/03):1344328037:Алексей:Сообщение от пользователя:Продолжить
12/06/22 (13/03):1344328037:Алексей:Сообщение от пользователя:Комплексные
12/06/22 (13/03):1344328037:Алексей:Сообщение от пользователя:**
12/06/22 (13/03):1344328037:Алексей:Сообщение от пользователя:15 14 21 11
12/06/22 (13/03):1344328037:Алексей:Результат вычислений:(2.825099737515289e+23-8.840561987417403e+23j)
12/06/22 (13/03):1344328037:Алексей:Сообщение от пользователя:Завершить
12/06/22 (13/03):1344328037:Алексей:Сообщение от пользователя:Завершить
==========:==========:==========:Пользователь завершил работу:==========
==========:==========:==========:Пользователь начал работу:==========
12/06/22 (13/09):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (13/09):1344328037:Алексей:Сообщение от пользователя:Начнем
12/06/22 (13/09):1344328037:Алексей:Сообщение от пользователя:Рациональные
12/06/22 (13/09):1344328037:Алексей:Сообщение от пользователя:**
12/06/22 (13/09):1344328037:Алексей:Сообщение от пользователя:2 5
12/06/22 (13/09):1344328037:Алексей:Результат вычислений:32
12/06/22 (13/09):1344328037:Алексей:Сообщение от пользователя:Завершить
12/06/22 (13/09):1344328037:Алексей:Сообщение от пользователя:Завершить
==========:==========:==========:Пользователь завершил работу:==========
==========:==========:==========:Пользователь начал работу:==========
12/06/22 (13/11):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (13/11):1344328037:Алексей:Сообщение от пользователя:Начнем
12/06/22 (13/11):1344328037:Алексей:Сообщение от пользователя:Комплексные
12/06/22 (13/11):1344328037:Алексей:Сообщение от пользователя:**
12/06/22 (13/11):1344328037:Алексей:Сообщение от пользователя:15 4 2 4
==========:==========:==========:Пользователь начал работу:==========
12/06/22 (13/13):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (13/13):1344328037:Алексей:Сообщение от пользователя:Начнем
12/06/22 (13/13):1344328037:Алексей:Сообщение от пользователя:Комплексные
12/06/22 (13/13):1344328037:Алексей:Сообщение от пользователя:**
12/06/22 (13/13):1344328037:Алексей:Сообщение от пользователя:14 5 2 4
12/06/22 (13/13):1344328037:Алексей:Результат вычислений:(26.215495249486832-49.530163146776566j)
12/06/22 (13/13):1344328037:Алексей:Сообщение от пользователя:Завершить
12/06/22 (13/13):1344328037:Алексей:Сообщение от пользователя:Завершить
==========:==========:==========:Пользователь завершил работу:==========
==========:==========:==========:Пользователь начал работу:==========
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:Начнем
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:Рациональные
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:**
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:45 15
12/06/22 (13/14):1344328037:Алексей:Результат вычислений:6283298708943145751953125
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:Продолжить
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:Комплексные
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:**
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:14 2 15 4
12/06/22 (13/14):1344328037:Алексей:Результат вычислений:(1.0132836500170686e+17+1.6219259712889136e+16j)
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:Продолжить
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:Рациональные
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:*
12/06/22 (13/14):1344328037:Алексей:Сообщение от пользователя:18 444
12/06/22 (13/14):1344328037:Алексей:Результат вычислений:7992
12/06/22 (13/15):1344328037:Алексей:Сообщение от пользователя:Продолжить
12/06/22 (13/15):1344328037:Алексей:Сообщение от пользователя:Комплексные
12/06/22 (13/15):1344328037:Алексей:Сообщение от пользователя:/
